enterprise_id,date,amount,platform,total_funding_amount
3335984757348155291,2022-03-30,692.93,stock,150000.0
3335984757348155291,2022-03-30,56.34,stock,150000.0
3335984757348155291,2022-03-30,362.87,stock,150000.0
1190288695542437667,2021-12-04,750.0,facebook,30000.0
3335984757348155291,2022-03-30,105.6,stock,150000.0
3335984757348155291,2022-03-30,2348.23,stock,150000.0
3335984757348155291,2022-03-30,37.8,stock,150000.0
3335984757348155291,2022-03-30,26618.35,stock,150000.0
3335984757348155291,2022-03-30,1546.44,stock,150000.0
3335984757348155291,2022-03-30,1525.2,stock,150000.0
3335984757348155291,2022-03-30,1190.1,stock,150000.0
3335984757348155291,2022-03-30,1083.1,stock,150000.0
3335984757348155291,2022-03-30,713.72,stock,150000.0
3335984757348155291,2022-03-30,804.79,stock,150000.0
3335984757348155291,2022-03-30,635.82,stock,150000.0
3335984757348155291,2022-03-30,3889.55,stock,150000.0
3335984757348155291,2022-03-30,1548.79,stock,150000.0
3335984757348155291,2022-03-30,9441.5,stock,150000.0
3335984757348155291,2022-03-02,3414.6,stock,150000.0
3335984757348155291,2022-03-02,695.94,stock,150000.0
3380802313261167994,2021-12-15,293.26,google,30000.0
3335984757348155291,2022-03-02,78.0,stock,150000.0
3335984757348155291,2022-03-02,576.0,stock,150000.0
3335984757348155291,2022-03-02,3229.85,stock,150000.0
3335984757348155291,2022-03-02,150.0,stock,150000.0
3335984757348155291,2022-03-02,83.16,stock,150000.0
3335984757348155291,2022-03-02,3510.68,stock,150000.0
3335984757348155291,2022-03-02,644.11,stock,150000.0
4976975039108026700,2021-12-18,600.28,microsoft,20000.0
3335984757348155291,2022-03-02,1982.81,stock,150000.0
6071132215378341664,2021-12-19,73.15,other,150000.0
8540365508954448545,2022-04-27,29177.27,google,1000000.0
1526091497470129680,2021-12-21,1500.0,google,40000.0
2843391753880764310,2022-03-03,750.0,facebook,50000.0
5196726616391465149,2022-03-03,500.0,google,20000.0
1526091497470129680,2021-12-20,750.0,facebook,40000.0
1526091497470129680,2021-12-19,750.0,facebook,40000.0
2753454304226905633,2021-11-13,500.0,google,15000.0
8540365508954448545,2022-04-01,57708.31,facebook,1000000.0
7260092488379457339,2022-02-28,2904.0,other,260000.0
7260092488379457339,2022-02-02,28245.13,facebook,260000.0
5532025817719410582,2021-10-27,750.0,facebook,20000.0
1190288695542437667,2021-10-20,750.0,facebook,30000.0
6744434961582703331,2021-08-10,750.0,facebook,30000.0
1688481867018199886,2021-11-02,750.0,facebook,30000.0
7260092488379457339,2022-02-28,14849.75,other,260000.0
7260092488379457339,2022-02-02,8753.18,facebook,260000.0
2843391753880764310,2022-03-05,750.0,facebook,50000.0
3012411838694922459,2022-03-05,40.0,facebook,50000.0
4636378874853602913,2022-03-05,54.91,facebook,10000.0
5532025817719410582,2021-11-28,500.0,google,20000.0
8641573576036899873,2022-03-05,750.0,facebook,30000.0
5196726616391465149,2021-11-26,750.0,facebook,20000.0
4202267719396131946,2022-03-06,500.0,google,20000.0
5196726616391465149,2022-02-02,750.0,facebook,20000.0
6071132215378341664,2022-02-02,106.34,other,150000.0
9148671555452718366,2022-02-02,750.0,facebook,32000.0
6071132215378341664,2022-02-02,873.6,pinterest,150000.0
7028414130517003693,2022-02-02,417.98,pinterest,25000.0
9148671555452718366,2022-02-02,306.51,pinterest,32000.0
1192305115806033379,2022-03-07,492.29,stock,50000.0
